GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mt-server,org.zanata.magpie,MTApplication,0,51,0,0,0,26,0,6,0,6
mt-server,org.zanata.magpie.producer,ResourceProducer,0,19,0,0,0,7,0,5,0,5
mt-server,org.zanata.magpie.producer,ValidatorProducer,0,8,0,0,0,3,0,2,0,2
mt-server,org.zanata.magpie.event,AccountCreated,4,54,2,6,0,12,2,7,0,5
mt-server,org.zanata.magpie.service,ConfigurationService,6,110,2,12,2,32,2,16,0,11
mt-server,org.zanata.magpie.service,MTStartup,60,227,5,7,17,64,5,12,0,11
mt-server,org.zanata.magpie.service,EventRecordingService,3,53,0,0,2,16,1,3,1,3
mt-server,org.zanata.magpie.api,ValidatePayloadInterceptor,10,108,2,4,4,27,3,7,1,6
mt-server,org.zanata.magpie.api,InputStreamStreamingOutput,0,24,0,2,0,7,0,3,0,2
mt-server,org.zanata.magpie.exception,BadRequestExceptionMapper,0,28,0,0,0,8,0,3,0,3
mt-server,org.zanata.magpie.exception,MTExceptionMapper,0,28,0,0,0,8,0,3,0,3
mt-server,org.zanata.magpie.exception,AccessDeniedExceptionMapper,0,23,0,0,0,6,0,2,0,2
mt-server,org.zanata.magpie.exception,DataConstraintViolationExceptionMapper,0,28,0,0,0,8,0,3,0,3
mt-server,org.zanata.magpie.util,UrlUtil,0,19,0,2,0,8,0,2,0,1
mt-server,org.zanata.magpie.api.service.impl,LanguagesResourceImpl,0,35,0,0,0,11,0,4,0,4
mt-server,org.zanata.magpie.api.service.impl,ReportingResourceImpl.new GenericEntity() {...},0,7,0,0,0,1,0,1,0,1
mt-server,org.zanata.magpie.api.service.impl,AccountResourceImpl,9,284,6,14,1,65,6,19,1,14
mt-server,org.zanata.magpie.api.service.impl,BackendResourceImpl.new GenericEntity() {...},7,0,0,0,1,0,1,0,1,0
mt-server,org.zanata.magpie.api.service.impl,ReportingResourceImpl,3,45,0,4,2,14,1,4,1,2
mt-server,org.zanata.magpie.api.service.impl,BackendResourceImpl,46,164,2,15,13,44,5,12,3,5
mt-server,org.zanata.magpie.api.service.impl,DocumentsResourceImpl,3,25,1,1,0,10,1,3,0,3
mt-server,org.zanata.magpie.api.service.impl,DocumentResourceImpl,130,502,16,40,22,120,18,23,2,11
mt-server,org.zanata.magpie.api.service.impl,DocumentResourceImpl.FilterStreamingOutput,0,36,0,0,0,10,0,2,0,2
mt-server,org.zanata.magpie.api.service.impl,InfoResourceImpl,0,29,0,0,0,10,0,3,0,3
mt-server,org.zanata.magpie.servlet,JavaMelodyFilter,6,18,1,1,1,5,1,2,0,2
mt-server,org.zanata.magpie.servlet,APIResponseFilter,8,99,2,10,2,36,2,10,0,6
mt-server,org.zanata.magpie.filter,PoFileAdapter,33,199,5,19,9,49,5,15,0,8
mt-server,org.zanata.magpie.annotation,EnvVariableProducer,0,32,0,2,0,11,0,5,0,4
mt-server,org.zanata.magpie.api.security,CheckRoleDecisionVoter,3,55,0,8,2,12,1,8,1,4
mt-server,org.zanata.magpie.api.security,SecurityInterceptor,3,168,5,21,2,48,6,14,1,6
mt-server,org.zanata.magpie.action,FrontendManifest,0,24,0,0,0,10,0,7,0,7
mt-server,org.zanata.magpie.action,FrontendAssets,22,66,2,0,6,14,2,7,1,7
